sex,types,level,birthday,following,fans,view,likes,album,article,video,audio
男,-1,5.0,01-01,77,39,3232.0,9.0,0,0,3,0
保密,-1,5.0,09-21,17,14,351.0,11.0,0,0,1,0
男,-1,5.0,01-01,204,64,12369.0,167.0,0,0,1,0
保密,-1,5.0,08-23,27,4,1933.0,2.0,0,0,2,0
男,-1,6.0,04-02,287,62482,5118989.0,120340.0,13,0,117,0
男,-1,5.0,04-16,29,2,594.0,2.0,0,0,1,0
男,-1,6.0,11-01,3,46629,14183781.0,141791.0,199,0,1295,0
男,-1,6.0,01-01,30,19,33194.0,82.0,0,0,3,0
保密,-1,5.0,07-26,2,3102,674282.0,11685.0,29,1,93,0
男,-1,5.0,11-09,75,49,41491.0,378.0,15,0,70,0
保密,-1,4.0,04-08,31,64,18638.0,290.0,0,0,9,0
男,-1,6.0,02-19,111,271,53931.0,564.0,0,0,94,0
保密,-1,6.0,09-16,81,42,21381.0,8.0,0,0,5,0
保密,-1,6.0,12-20,175,128,210319.0,19.0,0,0,8,0
女,-1,6.0,04-03,640,88,176138.0,791.0,0,0,8,0
男,-1,5.0,12-12,68,13,608.0,1.0,0,0,1,0
男,-1,6.0,10-24,566,16,25871.0,3.0,0,0,2,0
女,-1,6.0,01-01,55,75,12639.0,29.0,0,0,7,0
保密,-1,6.0,02-07,125,18,2561.0,7.0,2,0,3,0
男,-1,6.0,12-17,371,97,13412.0,56.0,1,0,1,0
女,-1,5.0,01-01,93,50,67560.0,22.0,0,0,4,0
男,-1,5.0,08-10,83,191,22379.0,118.0,0,0,28,0
男,-1,6.0,05-26,23,5422,748577.0,21452.0,17,0,187,0
男,-1,6.0,01-06,155,54,121.0,5.0,2,0,1,0
保密,-1,6.0,11-09,59,640,2462103.0,509.0,52,0,3,0
男,-1,5.0,06-04,57,6,8548.0,615.0,1,0,7,0
保密,-1,2.0,01-01,0,6,9530.0,34.0,0,0,1,0
男,-1,5.0,01-01,185,7,639.0,9.0,0,0,2,0
男,1,6.0,06-04,308,26344,3195963.0,70823.0,245,1,310,0
男,-1,5.0,06-27,170,32,46358.0,28.0,0,0,2,0
保密,-1,5.0,01-01,9,4052,953212.0,1606.0,1,0,42,0
保密,-1,3.0,01-01,47,8,257.0,9.0,1,0,3,0
男,-1,5.0,01-01,45,120,36799.0,468.0,0,0,6,0
男,-1,5.0,09-06,243,64,87965.0,231.0,0,0,5,0
男,-1,5.0,10-04,177,53,12314.0,102.0,0,0,3,0
保密,-1,5.0,03-05,24,26,23136.0,17.0,1,0,9,0
保密,-1,6.0,01-01,32,143,76731.0,2697.0,0,0,14,0
男,-1,5.0,01-01,95,22,1166.0,12.0,0,0,2,0
保密,-1,6.0,09-28,92,61,4366.0,17.0,0,0,1,0
女,-1,3.0,07-01,44,250,7636.0,1689.0,20,0,0,0
男,-1,5.0,01-05,52,51,4533.0,24.0,0,0,3,0
保密,-1,6.0,05-31,325,15093,879102.0,144770.0,490,2,248,0
保密,-1,5.0,01-01,190,3,252.0,1.0,0,0,1,0
男,-1,5.0,08-09,98,7,2054.0,5.0,0,0,1,0
保密,-1,5.0,01-01,17,7,2797.0,5.0,0,0,1,0
女,-1,5.0,02-25,142,197,373392.0,567.0,0,0,27,0
女,-1,3.0,06-05,23,12,1123.0,23.0,1,0,8,0
